,Unnamed: 0,Date,Name,Place,URL,min_temp,max_temp,uv_index,weather_desc
16,16,jeu. 13.05.1999,"Flughafenlauf, Kloten",Kloten,http://services.datasport.com/1999/zkb/kloten,,,,
17,17,dim. 02.05.1999,"Wiedlisbacher Läufe, Wiedlisbach",Wiedlisbach,http://services.datasport.com/1999/waffenlauf/Wiedlisbach,,,,
18,18,sam. 19.06.1999,"Wylandlauf, Andelfingen",Andelfingen,http://services.datasport.com/1999/zkb/wyland,,,,
19,19,dim. 13.06.1999,Schweizer Frauenlauf Bern,Bern,http://services.datasport.com/1999/lauf/frauenlauf,,,,
20,20,ven. 11.06.1999,"Bieler Lauftage, Biel/Bienne",Biel/Bienne,http://services.datasport.com/1999/lauf/biel,,,,
21,21,dim. 06.06.1999,Appenzell-Schwägalp-Classic,Appenzell,http://services.datasport.com/1999/velo/appen,,,,
22,22,sam. 05.06.1999,"Sihlwaldlauf, Langnau a.A.",Langnau am Albis,http://services.datasport.com/1999/zkb/sihlwald,,,,
23,23,sam. 24.07.1999,Davoser Nachtlauf,Davos Platz,http://services.datasport.com/1999/lauf/nachtlau,,,,
24,24,dim. 18.07.1999,Adelbodenlauf,Adelboden,http://services.datasport.com/1999/lauf/adelboden,,,,
25,25,dim. 29.08.1999,"Thuner Stadtlauf, Thun",Thun,http://services.datasport.com/1999/lauf/thunstadt,,,,
26,26,dim. 29.08.1999,"Engadiner Sommerlauf, Samedan",Bever,http://services.datasport.com/1999/lauf/engadin,,,,
